"""""",BEAT,Bias,Bias Category (Sheet1),BIAS TYPE (NEW),Category,Conditional Formatting,Definition,GO Number,Incident Date,Incomplete Month Marker,Incomplete Qtr,Map ,Mcpp,Neighborho,PCT,PCT Full,Precinct,PRECINCT,precinct (PCT MAP.shp),Sheet,Specific Bias Type,Table Name,2012,2013,2014,2015,2016,2017,2018,Geometry,Geometry (PCT MAP.shp),Number of Records,Placeholder,St Area Sh,st area sh (PCT MAP.shp),St Length,st length  (PCT MAP.shp)
,Q3,Black,MALICIOUS HARASSMENT,Race/Ethnicity/Ancestry,MALICIOUS HARASSMENT,A,"Sometimes referred to as Hate Crimes or Bias Crimes. Crimes in which the motivation for the suspect targeting a particular person was based on their belief about the victims’ race, color, religion, national origin, sexual orientation, mental, physical, or sensory handicap, homelessness, marital status, age, parental status, gender, or political ideology. This usually involves an assault, property damage, or threat of harm. This can be a violation of federal law, state (RCW 9A.36.080), or municipal code (SMC 12A.06.115)",2012-4373,1/1/2012,Complete Month,Complete Quarters,MCPP Map,QUEEN ANNE,QUEEN ANNE,WEST,WEST,W,WEST,W,2012,Anti-Black Or African American,2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,105096226.9,390396335.5,46622.57468,115256.614
,N3,Other Ethnicity,CRIME WITH BIAS ELEMENTS,Race/Ethnicity/Ancestry,CRIME WITH BIAS ELEMENTS,A,Usually involves the commission of any crime that is not bias based and during the incident the suspect uses a derogatory comment directed at the victim’s protected status or group (State and Municipal codes will vary depending upon the crime).,2012-1096,1/2/2012,Complete Month,Complete Quarters,MCPP Map,NORTHGATE,NORTHGATE,NORTH,NORTH,N,NORTH,N,2012,Anti-Other Race/Ethicity/Ancestry,2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,132689323.6,971139984.3,51398.03811,135039.609
,E1,Black,NON-CRIMINAL BIAS INCIDENTS,Race/Ethnicity/Ancestry,NON-CRIMINAL BIAS INCIDENTS,A,"Refers to offensive derogatory comments directed at a person’s sexual orientation, race, or other protected status. While not criminal in nature because they fall into the free speech realm, the comments may cause a level of fear and concern in the targeted community. Victims can generally feel harassed, intimidated, and offended by such comments. (No code assigned).",2012-2441,1/3/2012,Complete Month,Complete Quarters,MCPP Map,CAPITOL HILL,CAPITOL HILL,EAST,EAST,E,EAST,E,2012,Anti-Black Or African American,2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,30328037.5,225229640.6,30052.62763,68433.63449
,L3,Hispanic,MALICIOUS HARASSMENT,Race/Ethnicity/Ancestry,MALICIOUS HARASSMENT,A,"Sometimes referred to as Hate Crimes or Bias Crimes. Crimes in which the motivation for the suspect targeting a particular person was based on their belief about the victims’ race, color, religion, national origin, sexual orientation, mental, physical, or sensory handicap, homelessness, marital status, age, parental status, gender, or political ideology. This usually involves an assault, property damage, or threat of harm. This can be a violation of federal law, state (RCW 9A.36.080), or municipal code (SMC 12A.06.115)",2012-9763,1/7/2012,Complete Month,Complete Quarters,MCPP Map,LAKECITY,LAKECITY,NORTH,NORTH,N,NORTH,N,2012,Anti-Hispanic Or Latino,2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,85899582.65,971139984.3,44835.19181,135039.609
,L2,Gay & Lesbian,CRIME WITH BIAS ELEMENTS,Sexual Orientation,CRIME WITH BIAS ELEMENTS,A,Usually involves the commission of any crime that is not bias based and during the incident the suspect uses a derogatory comment directed at the victim’s protected status or group (State and Municipal codes will vary depending upon the crime).,2012-100766,1/11/2012,Complete Month,Complete Quarters,MCPP Map,ROOSEVELT/RAVENNA,ROOSEVELT/RAVENNA,NORTH,NORTH,N,NORTH,N,2012,"Anti-Lesbian, Gay, Bisexual, Or Transgender (Mixed Group)",2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,95888793.63,971139984.3,50703.10991,135039.609
,M2,Black,NON-CRIMINAL BIAS INCIDENTS,Race/Ethnicity/Ancestry,NON-CRIMINAL BIAS INCIDENTS,A,"Refers to offensive derogatory comments directed at a person’s sexual orientation, race, or other protected status. While not criminal in nature because they fall into the free speech realm, the comments may cause a level of fear and concern in the targeted community. Victims can generally feel harassed, intimidated, and offended by such comments. (No code assigned).",2012-10733,1/11/2012,Complete Month,Complete Quarters,MCPP Map,SLU/CASCADE,SLU/CASCADE,WEST,WEST,W,WEST,W,2012,Anti-Black Or African American,2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,31657305.5,390396335.5,29369.50227,115256.614
,E2,Gay & Lesbian,MALICIOUS HARASSMENT,Sexual Orientation,MALICIOUS HARASSMENT,A,"Sometimes referred to as Hate Crimes or Bias Crimes. Crimes in which the motivation for the suspect targeting a particular person was based on their belief about the victims’ race, color, religion, national origin, sexual orientation, mental, physical, or sensory handicap, homelessness, marital status, age, parental status, gender, or political ideology. This usually involves an assault, property damage, or threat of harm. This can be a violation of federal law, state (RCW 9A.36.080), or municipal code (SMC 12A.06.115)",2012-12306,1/12/2012,Complete Month,Complete Quarters,MCPP Map,CAPITOL HILL,CAPITOL HILL,EAST,EAST,E,EAST,E,2012,"Anti-Lesbian, Gay, Bisexual, Or Transgender (Mixed Group)",2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,30328037.5,225229640.6,30052.62763,68433.63449
,J1,Asian Pacific Islander,MALICIOUS HARASSMENT,Race/Ethnicity/Ancestry,MALICIOUS HARASSMENT,A,"Sometimes referred to as Hate Crimes or Bias Crimes. Crimes in which the motivation for the suspect targeting a particular person was based on their belief about the victims’ race, color, religion, national origin, sexual orientation, mental, physical, or sensory handicap, homelessness, marital status, age, parental status, gender, or political ideology. This usually involves an assault, property damage, or threat of harm. This can be a violation of federal law, state (RCW 9A.36.080), or municipal code (SMC 12A.06.115)",2012-16780,1/17/2012,Complete Month,Complete Quarters,MCPP Map,GREENWOOD,GREENWOOD,NORTH,NORTH,N,NORTH,N,2012,Anti-Asian,2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,42008629.33,971139984.3,26493.33227,135039.609
,E1,Black,CRIME WITH BIAS ELEMENTS,Race/Ethnicity/Ancestry,CRIME WITH BIAS ELEMENTS,A,Usually involves the commission of any crime that is not bias based and during the incident the suspect uses a derogatory comment directed at the victim’s protected status or group (State and Municipal codes will vary depending upon the crime).,2012-22212,1/24/2012,Complete Month,Complete Quarters,MCPP Map,CAPITOL HILL,CAPITOL HILL,EAST,EAST,E,EAST,E,2012,Anti-Black Or African American,2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,30328037.5,225229640.6,30052.62763,68433.63449
,D1,Gay & Lesbian,NON-CRIMINAL BIAS INCIDENTS,Sexual Orientation,NON-CRIMINAL BIAS INCIDENTS,A,"Refers to offensive derogatory comments directed at a person’s sexual orientation, race, or other protected status. While not criminal in nature because they fall into the free speech realm, the comments may cause a level of fear and concern in the targeted community. Victims can generally feel harassed, intimidated, and offended by such comments. (No code assigned).",2012-25245,1/27/2012,Complete Month,Complete Quarters,MCPP Map,BELLTOWN,BELLTOWN,WEST,WEST,W,WEST,W,2012,"Anti-Lesbian, Gay, Bisexual, Or Transgender (Mixed Group)",2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,13262023.28,390396335.5,17851.41917,115256.614
